time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
10214.693189	5.268215	2.572184	2.048148	209
10215.740685	4.433206	2.557090	1.733692	210
10216.747351	4.608516	2.604108	1.769710	211
10217.753864	5.266821	2.594979	2.029620	212
10218.788945	4.463758	2.625952	1.699862	213
10219.807751	4.747385	2.602525	1.824146	214
10220.797608	5.271704	2.520254	2.091735	215
10221.847751	4.515411	2.626963	1.718871	216
10222.840449	5.984119	2.600773	2.300900	217
10223.868886	4.806908	2.621393	1.833722	218
10224.893486	5.207437	2.639735	1.972712	219
10225.890079	5.922996	2.590914	2.286064	220
10226.926671	5.837336	2.595048	2.249413	221
10227.932040	5.414903	2.555986	2.118518	222
10228.959613	5.253961	2.598655	2.021801	223
10229.960637	4.868081	2.620567	1.857644	224
10230.995156	4.287472	2.594475	1.652540	225
10231.998125	4.444983	2.629044	1.690722	226
10233.037705	4.149956	2.617065	1.585729	227
10234.033274	4.656105	2.600507	1.790461	228
10235.070359	4.951540	2.618856	1.890726	229
10236.073517	4.911032	2.602903	1.886752	230
10237.094892	5.876719	2.568783	2.287745	231
10238.130375	4.101163	2.624086	1.562892	232
10239.112782	5.531984	2.588679	2.136991	233
10240.165088	5.099376	2.597152	1.963450	234
10241.162091	4.892204	2.588803	1.889755	235
10242.170929	5.766711	2.613164	2.206792	236
10243.215641	4.747913	2.613411	1.816749	237
10244.223951	5.067730	2.655822	1.908159	238
10245.223465	5.783781	2.622329	2.205589	239
10246.276897	4.577402	2.602463	1.758873	240
10247.259568	5.007273	2.643579	1.894127	241
10248.284792	5.484639	2.604355	2.105949	242
10249.325254	4.588806	2.618548	1.752424	243
10250.320313	4.759983	2.603214	1.828502	244
10251.333039	5.483459	2.544235	2.155248	245
10252.385135	4.486974	2.629945	1.706109	246
10253.365261	5.339245	2.632289	2.028366	247
10254.397003	5.795987	2.597891	2.231035	248
10255.427897	4.732713	2.624206	1.803484	249
10256.430082	5.789965	2.572114	2.251053	250
10257.451622	5.817495	2.626658	2.214790	251
10258.478344	4.840780	2.629722	1.840796	252
10259.467977	5.991723	2.612087	2.293844	253
10260.524224	4.730975	2.497526	1.894264	254
10261.503772	5.386165	2.558731	2.105014	255
10262.544429	6.384343	2.630689	2.426872	0
10263.552862	5.171248	2.583366	2.001748	1
10264.570644	6.158990	2.589545	2.378406	2
10265.597845	5.317882	2.628832	2.022907	3
10266.601882	6.283787	2.622760	2.395868	4
10267.636285	5.371330	2.620079	2.050064	5
10268.636112	5.936881	2.620029	2.265960	6
10269.681610	5.396393	2.582558	2.089553	7
10270.673756	5.526188	2.631845	2.099739	8
10271.705357	4.966070	2.586953	1.919660	9
10272.712942	5.175160	2.563556	2.018743	10
10273.736601	4.950718	2.625258	1.885802	11
10274.750496	5.812808	2.626917	2.212787	12
10275.761989	5.102030	2.615791	1.950473	13
10276.795145	5.845566	2.604014	2.244829	14
10277.800888	5.520506	2.578357	2.141094	15
10278.836889	5.605837	2.613634	2.144844	16
10279.826119	5.644526	2.578273	2.189266	17
10280.864355	5.266718	2.607335	2.019963	18
10281.874429	5.972098	2.600399	2.296609	19
10282.885168	5.775615	2.634897	2.191970	20
10283.919969	5.599827	2.601961	2.152156	21
10284.922943	6.140422	2.588950	2.371782	22
10285.940275	5.503974	2.611629	2.107487	23
10286.976246	6.047853	2.614334	2.313344	24
10287.964917	5.981733	2.627499	2.276588	25
10289.010441	5.472251	2.570247	2.129076	26
10290.014587	6.190013	2.613991	2.368032	27
10291.029039	5.777706	2.626371	2.199882	28
10292.062286	5.867845	2.601066	2.255939	29
10293.064353	6.280647	2.584798	2.429841	30
10294.085681	5.659441	2.585883	2.188591	31
10295.115005	6.330553	2.643922	2.394380	32
10296.108325	6.299581	2.636089	2.389745	33
10297.156706	6.051475	2.597593	2.329647	34
10298.144694	6.229111	2.584389	2.410284	35
10299.184784	5.668185	2.609165	2.172413	36
10300.189056	6.484457	2.580980	2.512401	37
10301.207586	5.930950	2.534820	2.339792	38
10302.232580	6.780037	2.605439	2.602263	39
10303.237866	6.647077	2.639713	2.518106	40
10304.270380	6.723584	2.637029	2.549682	41
10305.272255	6.206930	2.582781	2.403196	42
10306.306572	6.179679	2.619804	2.358832	43
10307.310567	6.049325	2.626952	2.302792	44
10308.343664	5.801038	2.622248	2.212238	45
10309.346074	5.825035	2.570608	2.266014	46
10310.379501	5.794721	2.637184	2.197314	47
10311.381407	5.952877	2.620127	2.271980	48
10312.414553	6.063539	2.602861	2.329567	49
10313.418865	5.801468	2.526502	2.296246	50
10314.441198	6.768506	2.604083	2.599190	51
10315.463398	5.905829	2.543722	2.321727	52
10316.476278	7.467540	2.639288	2.829377	53
10317.511737	5.734521	2.520873	2.274816	54
10318.493409	6.991523	2.627287	2.661118	55
10319.547910	6.651676	2.624131	2.534811	56
10320.536369	6.250021	2.642219	2.365444	57
10321.568906	7.283465	2.627995	2.771492	58
10322.588336	6.206863	2.610459	2.377691	59
10323.591922	7.395845	2.631691	2.810301	60
10324.628776	6.946311	2.640393	2.630787	61
10325.629626	6.507591	2.606658	2.496526	62
10326.650659	7.176092	2.556979	2.806472	63
10327.684459	6.331018	2.578898	2.454932	64
10328.672255	7.213430	2.621410	2.751738	65
10329.725302	6.754797	2.571857	2.626427	66
10330.710766	6.213823	2.625620	2.366612	67
10331.749157	7.417764	2.580931	2.874065	68
10332.758611	6.388748	2.591436	2.465331	69
10333.773685	7.599173	2.611609	2.909767	70
10334.805244	6.654111	2.601518	2.557781	71
10335.803796	6.730954	2.613672	2.575286	72
10336.839240	6.660415	2.602378	2.559357	73
10337.844367	6.219884	2.637583	2.358176	74
10338.872414	6.799302	2.583492	2.631827	75
10339.886809	6.461882	2.629276	2.457666	76
10340.903655	7.305461	2.582965	2.828324	77
10341.928477	6.367988	2.609094	2.440689	78
10342.933049	7.502934	2.621158	2.862450	79
10343.964717	6.159784	2.604147	2.365375	80
10344.965860	7.211379	2.624141	2.748092	81
10346.007575	6.352117	2.606715	2.436829	82
10347.003953	7.016029	2.592606	2.706168	83
10348.040052	6.216900	2.550970	2.437074	84
10349.044639	6.422405	2.571734	2.497305	85
10350.063526	5.641828	2.568190	2.196811	86
10351.093644	6.749912	2.607929	2.588226	87
10352.094064	6.053144	2.592963	2.334451	88
10353.125139	6.137197	2.597774	2.362483	89
10354.125287	7.042512	2.619858	2.688128	90
10355.158838	6.415648	2.602983	2.464729	91
10356.168388	7.061644	2.591886	2.724519	92
10357.188640	6.407900	2.635047	2.431797	93
10358.214065	6.718242	2.602373	2.581583	94
10359.211221	6.719970	2.584183	2.600423	95
10360.254043	6.886472	2.602128	2.646477	96
10361.241311	7.211178	2.547442	2.830752	97
10362.288237	6.863768	2.579569	2.660820	98
10363.282630	7.652179	2.640801	2.897674	99
10364.316706	6.581838	2.593489	2.537831	100
10365.330319	7.429231	2.617671	2.838107	101
10366.337339	7.426678	2.594580	2.862382	102
10367.370804	7.178036	2.614371	2.745607	103
10368.372263	7.360890	2.571529	2.862457	104
10369.402962	6.938925	2.610446	2.658138	105
10370.414672	7.885231	2.624810	3.004115	106
10371.429528	7.153917	2.606321	2.744834	107
10372.470716	8.074343	2.614805	3.087933	108
10373.457058	7.576396	2.627523	2.883475	109
10374.501094	7.403777	2.621242	2.824530	110
10375.491790	7.037260	2.597557	2.709184	111
10376.534607	7.023861	2.613855	2.687165	112
10377.526785	7.067983	2.641217	2.676032	113
10378.573899	6.433657	2.579804	2.493855	114
